trial_id,current_policy_stockouts,current_policy_cost,optimized_policy_stockouts,optimized_policy_cost
278,68.0,1962.352519523418,61.0,2080.0996097908824
279,62.0,1920.8634611316509,58.0,2017.0069305548516
280,80.0,2215.388200084842,61.0,2154.9753382197546
281,72.0,1947.3259786320114,37.0,2014.4346169722544
282,81.0,1991.3399808168463,47.0,2142.8286813023324
283,75.0,2076.74715943911,63.0,2287.9718632795657
284,71.0,1973.1997208574298,55.0,2105.4704485888674
285,85.0,1945.660470007348,47.0,2004.2030406083356
286,75.0,1984.310497532406,49.0,2012.9583414945764
287,81.0,2194.4698715768764,58.0,2117.1877725732106
288,61.0,2203.2016765815397,71.0,2137.29092362287
289,56.0,1966.4976829579493,52.0,2098.1820555202407
290,70.0,2072.9127025663165,57.0,2088.208194475756
291,61.0,2052.6068814921837,49.0,2100.981798907539
292,87.0,2169.172537244119,61.0,2054.8715768823417
293,65.0,1925.65458728625,52.0,2107.9877275312956
294,68.0,2076.3845594930863,57.0,2072.8660837935763
295,75.0,1916.4564195433684,53.0,2072.46910814423
296,67.0,2147.5993515161954,57.0,2037.9735179501922
297,73.0,1993.6053050756327,52.0,2039.341778888243
298,83.0,2012.7000083015173,64.0,2294.8878009455025
299,77.0,1972.416648549635,61.0,2062.091544165535
300,59.0,1811.6412725882044,58.0,2125.8923160880727
301,82.0,1988.756196000176,58.0,2095.151287368548
302,66.0,1917.723115137666,59.0,2013.6476206308546
303,64.0,2031.3681302885057,57.0,1989.7880893447839
304,64.0,1979.6121253252613,63.0,2123.22376455804
305,86.0,2089.2868571394197,58.0,2170.2223953297157
306,75.0,2072.7255033472698,59.0,2103.0680376355526
307,74.0,2058.9227818228287,48.0,2080.0519172998784
308,89.0,2054.209573635866,59.0,2082.379159242298
309,74.0,1921.1167616609994,62.0,2103.9245177666057
310,76.0,2031.040673275584,55.0,2040.1290464757392
311,68.0,2028.83288137355,67.0,2139.732471647288
312,68.0,2037.8481893153817,69.0,2254.4539785033035
313,89.0,1999.5648889528622,47.0,2071.133868281368
314,74.0,1980.2640535306884,52.0,2067.042044768329
315,77.0,1971.1508600177478,58.0,2126.2434024354907
316,61.0,1944.6871597488987,61.0,2162.837701741697
317,57.0,1922.8172012747107,47.0,2117.6667289338952
318,74.0,1980.1356080188723,85.0,2382.392435389093
319,69.0,1952.921142004982,57.0,2052.929892041549
320,80.0,2109.198158326219,58.0,2092.023263876705
321,77.0,2029.8151393242833,66.0,2152.961525476052
322,68.0,1945.7034277892435,64.0,2057.7294361199174
323,65.0,2034.2687336762945,47.0,2080.43553221547
324,62.0,1977.8450963252978,55.0,2084.2094916485808
325,73.0,1957.2702464163688,63.0,2174.0589452558625
326,71.0,1943.9998642904322,61.0,2195.4341387047534
327,59.0,1913.7835177023671,57.0,2158.0397735629626
328,78.0,1964.271685676826,49.0,2034.3959658240205
329,86.0,2125.3009396878288,45.0,2029.8229346616663
330,74.0,2014.8927427267706,59.0,2082.429060284892
331,80.0,1962.020449457747,54.0,2141.396915339046
332,63.0,1998.7874066216139,61.0,2213.625578149919
333,79.0,2018.9022251053927,50.0,2237.784912193744
334,85.0,2113.9943866081812,63.0,2170.0950695132287
335,75.0,2086.887389175589,59.0,2116.201540902343
336,64.0,1867.007661700866,48.0,2022.5531727070863
337,81.0,1982.8828425763577,52.0,2069.436821677417
338,68.0,1985.1766716193467,58.0,2041.7583443665158
339,74.0,1939.539994731958,63.0,2130.054826655058
340,80.0,2134.4601979095432,51.0,2123.1006328437834
341,82.0,1979.5069558059909,60.0,2266.3344920705913
342,69.0,2040.5339427960066,52.0,2183.4657591618584
343,84.0,2012.0922840551507,65.0,2145.157863044216
344,74.0,2035.8913561103172,54.0,2035.3322661438417
345,63.0,1917.2666835543823,44.0,1985.198486787258
346,85.0,2048.3641445658786,57.0,2087.829362186605
347,66.0,1947.0412600579887,51.0,2095.2759933448215
348,79.0,2104.7833002941643,62.0,2210.4216155163867
349,76.0,2112.338941215718,62.0,2063.256390347985
350,69.0,1941.5268849690015,61.0,2089.7410927972433
351,71.0,2013.554344236873,62.0,2066.835471188471
352,57.0,1986.152601500806,60.0,2106.274595549972
353,84.0,1984.477800333206,56.0,2039.783469219777
354,77.0,1951.1934802593828,49.0,2107.4747707106217
355,80.0,2005.223531962084,61.0,2164.9368204991233
356,74.0,1963.7364854625505,45.0,1964.152154130241
357,76.0,2069.7565654479527,58.0,2184.040909209534
