category_name,order_region,service_level_target,mean_weekly_demand,std_weekly_demand,mean_lead_time,unit_cost,total_qty,sigma_dlt,mean_dlt,ideal_safety_stock,reorder_point,baseline_ss,optimized_safety_stock,funded_pct,holding_cost_current,holding_cost_optimized
Indoor/Outdoor Games,West Africa,0.95,57.68181818181818,24.58878250561067,3.0024271844660197,49.97999954,1269,20.50190127483267,24.740779851216743,33.72262667130953,58.46340652252627,20.233576002785718,24.941925162995343,0.7396198821076825,3.8895158435068664,4.794605416050853
Indoor/Outdoor Games,West Asia,0.95,90.8181818181818,23.907831678854013,2.9212121212121214,49.97999954,1998,24.30274207390616,37.89988193624558,39.97445344513069,77.87433538137627,23.984672067078414,29.66152380690699,0.7420119914239898,4.610591918767808,5.701857485480426
Indoor/Outdoor Games,West of USA ,0.95,115.04545454545456,29.30054001245788,2.925,49.97999954,2531,31.501079579879654,48.07256493506493,51.81466499985201,99.88722993491696,31.088798999911205,38.07617504611278,0.7348532514148558,5.976223691210441,7.319412351114139
Indoor/Outdoor Games,Western Europe,0.99,159.86274509803923,102.8884871320097,2.9055433989788475,49.97999954,8153,74.73895438032562,66.35544910889229,173.8688076307059,240.2242567395982,104.32128457842354,90.62690380727834,0.5212372767849665,20.053760597083915,17.42127927153614
Kids' Golf Clubs,Caribbean,0.95,3.125,1.9594095320493148,2.625,149.166875358125,25,1.3546244647414982,1.171875,2.22815896398725,3.40003396398725,1.33689537839235,1.6466371475574637,0.7390124197471245,0.7670019472134809,0.944706608268318
Kids' Golf Clubs,Central America,0.99,15.875,7.661359446692771,3.095238095238096,141.8207932652381,127,6.164818178670489,7.019557823129252,14.34151166379842,21.361069486927672,8.604906998279052,7.563007232772577,0.5273507709695281,4.693672063344362,4.125352635471309
Kids' Golf Clubs,Northern Europe,0.95,4.733333333333333,3.575045787252575,3.0961538461538463,206.72788060461545,71,2.572800794212192,2.093589743589744,4.231880717783552,6.325470461373296,2.539128430670131,3.1156371070834075,0.7362298974993848,2.0188793809821517,2.477265599540185
Kids' Golf Clubs,South America,0.99,7.333333333333333,7.211102550927978,3.2777777777777777,133.63888760722224,66,5.221631516881362,3.433862433862434,12.147331378321606,15.58119381218404,7.288398826992964,6.334033344963764,0.5214341444794713,3.7462058141427814,3.255666039569271
Kids' Golf Clubs,Southern Europe,0.95,5.333333333333333,3.373566715058764,3.2549019607843137,203.7460757845098,80,2.550735286187118,2.4799253034547157,4.195586186877982,6.675511490332697,2.517351712126789,3.1066736394422207,0.7404623575982258,1.9726943565971164,2.43450985684436
Kids' Golf Clubs,Western Europe,0.99,16.235294117647058,8.996731432614194,2.86144578313253,221.6380087003012,276,6.676844216097495,6.636630555836792,15.53266234742029,22.16929290325708,9.319597408452172,8.130433258758966,0.523441060965913,7.9445269672993355,6.930819374392454
Lacrosse,Caribbean,0.95,2.909090909090909,1.4459976109624424,3.333333333333333,24.98999977,32,1.2255719095868745,1.3852813852813854,2.0158864005738124,3.401167785855198,1.2095318403442874,1.490274685432844,0.7392652110796742,0.1162546169692747,0.1432383232546292
Lacrosse,Central America,0.99,6.282051282051282,3.7553380809940538,3.0,44.869517336024096,245,2.7715914039589142,2.692307692307692,6.447685770309689,9.13999346261738,3.868611462185813,3.370288296692709,0.5227128642360669,0.6676258810341842,0.5816277275225101
Lacrosse,East of USA,0.95,3.8,2.440400695696417,2.0,24.98999977,38,1.406197193128323,1.0857142857142856,2.312988553326102,3.3987028390403875,1.3877931319956611,1.6850754215886308,0.7285273501096555,0.13338826942068904,0.16196167076127901
Lacrosse,Eastern Asia,0.95,4.555555555555555,3.166666666666667,2.6923076923076925,24.98999977,41,2.2232449387994624,1.752136752136752,3.6569125011858,5.409049253322552,2.19414750071148,2.7298010854352315,0.7464770033600912,0.21089132899279217,0.26237587883527763
Lacrosse,Eastern Europe,0.95,2.6666666666666665,1.224744871391589,3.1,24.98999977,24,0.9226783561753232,1.180952380952381,1.5176708406646024,2.6986232216169834,0.9106025043987614,1.126892211458851,0.7425142404168313,0.08752290913648643,0.10831167732758262
Lacrosse,North Africa,0.95,2.9,1.1972189997378648,2.7,24.98999977,29,0.955659831888792,1.1185714285714283,1.5719205406141137,2.6904919691855422,0.9431523243684682,1.168824820845556,0.7435648244592076,0.09065144757324226,0.11234204616961824
Lacrosse,Northern Europe,0.95,4.6,2.164651077128664,2.782608695652174,57.59869459173913,69,1.7085647056025182,1.8285714285714283,2.8103388528915763,4.638910281463005,1.6862033117349458,2.0539503743819503,0.7308550612210435,0.3735504214315394,0.4550186935408239
Lacrosse,Oceania,0.95,6.125,4.793969425970806,3.2666666666666666,24.98999977,49,3.3573613150806394,2.8583333333333334,5.522367936096954,8.380701269430286,3.3134207616581723,4.03139118248377,0.7300113337491666,0.3184707079682729,0.3874787104732671
Lacrosse,South America,0.99,3.4166666666666665,2.0834057958412537,2.931034482758621,40.50724075413793,82,1.5066186065572489,1.430623973727422,3.5049189923548294,4.935542966082251,2.1029513954128976,1.8417660785731809,0.5254803556346288,0.32763368641630986,0.2869417767598783
Lacrosse,South Asia,0.95,3.2222222222222223,1.301708279317776,3.111111111111111,24.98999977,29,1.079397499253754,1.432098765432099,1.7754508915698863,3.207549657001985,1.0652705349419318,1.3199531491501098,0.7434467241067889,0.1023888862430256,0.12686780343720008
Lacrosse,Southeast Asia,0.95,3.875,2.6958963523950885,2.4545454545454546,24.98999977,31,1.8136979439562,1.3587662337662338,2.9832676413107837,4.342033875077017,1.78996058478647,2.2141468123056054,0.7421884586033176,0.17204274846970366,0.21281357050101277
Lacrosse,Southern Europe,0.95,4.733333333333333,2.153623745712152,3.05,58.739998910500006,71,1.6935081003998953,2.062380952380952,2.7855729412144656,4.847953893595418,1.6713437647286793,2.08008525352484,0.7467351591295813,0.37759511892012926,0.4699392520222933
Lacrosse,US Center ,0.95,4.666666666666667,4.47213595499958,2.923076923076923,24.98999977,42,3.008737783939148,1.948717948717949,4.948933256458242,6.897651205176191,2.9693599538749447,3.686690414242151,0.744946481028231,0.28540117140146953,0.35434766386143296
Lacrosse,West Asia,0.95,3.625,2.38671920665766,2.888888888888889,24.98999977,29,1.821900226825809,1.496031746031746,2.996759196038142,4.492790942069888,1.7980555176228852,2.217168173466169,0.7398552998176731,0.1728207960455505,0.21310396978834956
Lacrosse,West of USA ,0.95,3.636363636363636,2.377928816122437,3.4285714285714284,24.98999977,40,1.826061337507712,1.7810760667903525,3.0036036140354168,4.78467968082577,1.8021621684212497,2.19714667909958,0.7315035408908894,0.1732155083628836,0.21117959617444146
Lacrosse,Western Europe,0.99,4.416666666666667,2.48327740429189,3.131578947368421,56.56894633421052,106,1.8312222671027365,1.9758771929824563,4.2600600279707,6.235937220953156,2.55603601678242,2.211477562472219,0.5191188734318533,0.5561240933141306,0.4811575213492371
Men's Footwear,Canada,0.95,6.05,2.605156829302827,2.900826446280992,129.9900055,121,2.0990643726850013,2.507142857142857,3.4526536466155413,5.959796503758398,2.071592187969325,2.557787709610656,0.7408179248207892,1.0357164611841907,1.278795532462006
Men's Footwear,Caribbean,0.95,24.55813953488372,7.57282838770233,2.9640151515151514,129.9900055,1056,7.253190547683315,10.398671096345517,11.930436779327035,22.32910787567255,7.158262067596221,8.79074093249847,0.7368331181077122,3.5788558674510544,4.395032546786736
Men's Footwear,Central Africa,0.95,9.952380952380953,3.866215080362065,2.889952153110048,129.9900055,209,3.255524458737693,4.108843537414966,5.354861213583923,9.46370475099889,3.2129167281503537,3.972907561163341,0.7419254024894397,1.6063348583204096,1.986301060486978
Men's Footwear,Central America,0.99,82.27272727272727,21.304398100756515,2.959668508287293,129.9900055,3620,22.170054428984564,34.785714285714285,51.57525898823796,86.36097327395225,30.945155392942777,27.00831215520885,0.5236679889744859,15.471388152796102,13.503117867697366
Men's Footwear,Central Asia,0.95,3.909090909090909,3.190896140869863,2.7906976744186047,129.9900055,86,2.1901929756339813,1.5584415584415583,3.6025468596951917,5.16098841813675,2.1615281158171147,2.670376819609752,0.7412469354626773,1.0806809679364284,1.3350857594928622
Men's Footwear,East Africa,0.95,11.227272727272728,5.10771422348046,2.88663967611336,129.9900055,247,4.034805783167145,4.629870129870129,6.636664926487254,11.266535056357384,3.981998955892352,4.903062125645141,0.7387840398686968,1.9908464083747734,2.4513425872286674
Men's Footwear,East of USA,0.95,40.72727272727273,11.666728509421745,2.9497767857142856,129.9900055,896,11.570555808868166,17.162337662337663,19.03187068806123,36.194208350398895,11.419122412836735,14.063168471625575,0.7389272816175375,5.709122250960848,7.031043642207828
Men's Footwear,Eastern Asia,0.95,28.678571428571427,17.373998391441738,2.991282689912827,129.9900055,803,12.974508498095982,12.255102040816324,21.34116736100588,33.5962694018222,12.804700416603524,15.83209950194872,0.7418572393034504,6.401857990692863,7.9154411589802365
Men's Footwear,Eastern Europe,0.95,22.90909090909091,7.3349073478037745,2.9761904761904763,129.9900055,504,6.871693724685092,9.740259740259742,11.302930346347944,21.043190086607687,6.781758207808767,8.319907781234555,0.7360841415715506,3.3906184105105064,4.159634070162203
Men's Footwear,North Africa,0.95,19.5,6.277321236384347,2.9393939393939394,129.9900055,429,5.6468532157673925,8.188311688311687,9.28824699281758,17.47655868112927,5.572948195690548,6.865489590416432,0.7391588095929599,2.78625987157319,3.4324808831477878
Men's Footwear,Northern Europe,0.95,23.94117647058824,15.931618580302356,2.9443079443079445,129.9900055,1221,11.498384205574734,10.070028011204482,18.91315896462112,28.983186975825603,11.347895378772671,13.908801669059825,0.7354034138388819,5.6735114719234,6.953866174844215
Men's Footwear,Oceania,0.95,47.583333333333336,29.692506252188146,2.9728546409807355,129.9900055,1142,21.889154550826497,20.208333333333336,36.00445525382829,56.212788587161626,21.602673152296973,26.50620793813076,0.7361924448311824,10.800506161083792,13.252085060237544
Men's Footwear,South America,0.99,42.90909090909091,16.8823813235673,2.9322033898305087,129.9900055,1888,14.238432145786785,17.974025974025974,33.123546352025855,51.09757232605183,19.874127811215512,17.3840447268008,0.5248243814852748,9.936299936490798,8.691354114034931
Men's Footwear,South Asia,0.95,19.88636363636364,13.449675208477364,2.9474285714285715,129.9900055,875,9.721235345314136,8.373376623376624,15.9900092161888,24.363385839565424,9.59400552971328,11.75237504463933,0.7349823809195085,4.796633967594076,5.875735756502804
Men's Footwear,South of  USA ,0.95,25.714285714285715,8.39727847068833,2.9296296296296296,129.9900055,540,7.988893773008,10.761904761904765,13.14056089786224,23.902465659767003,7.884336538717344,9.66948805890284,0.7358504811218456,3.9418651924296864,4.8343723306114015
Men's Footwear,Southeast Asia,0.95,43.04545454545455,12.941175602472365,2.9408658922914466,129.9900055,947,12.22132718023412,18.084415584415584,20.102294338568704,38.18670992298429,12.061376603141222,14.811192445843632,0.7367911441544537,6.030224657614996,7.405026874987586
Men's Footwear,Southern Africa,0.95,7.476190476190476,4.7393991984116255,3.0254777070063694,129.9900055,157,3.434434963330208,3.231292517006803,5.649142805962638,8.880435322969442,3.389485683577583,4.177790025329829,0.7395440633789954,1.6946125486554666,2.088734416809498
Men's Footwear,Southern Europe,0.95,23.897959183673468,15.068240466235576,2.927412467976089,129.9900055,1171,10.985696334151925,9.994169096209912,18.069862459817287,28.0640315560272,10.841917475890371,13.382732600384932,0.7406106510298391,5.420541970467444,6.690851862804102
Men's Footwear,US Center ,0.95,36.09090909090909,10.281324219458686,2.920654911838791,129.9900055,794,10.0684004151986,15.05844155844156,16.561044940539126,31.619486498980685,9.936626964323477,12.22776511170199,0.7383450232521336,4.96793151439945,6.113412515857115
Men's Footwear,West Africa,0.95,20.818181818181817,8.53361065566685,2.958515283842795,129.9900055,458,7.111985155967178,8.798701298701298,11.698174578617644,20.496875877318946,7.018904747170587,8.589612840748734,0.7342695035898289,3.5091825641872334,4.294476232353071
Men's Footwear,West Asia,0.95,36.5,9.262057778145971,2.925280199252802,129.9900055,803,9.749752849008102,15.253246753246753,16.036916335571426,31.29016308881818,9.622149801342855,11.830080759917308,0.737678024401552,4.810705021532237,5.914585627104213
Men's Footwear,West of USA ,0.95,47.13636363636363,13.228020240403303,2.914175506268081,129.9900055,1037,13.443493094383236,19.623376623376625,22.112578375193333,41.73595499856995,13.267547025116,16.282073833938416,0.7363263368782095,6.633263502947452,8.140411027788696
Men's Footwear,Western Europe,0.99,63.5686274509804,40.02412017869264,2.8871067242442936,129.9900055,3242,29.07921451709397,26.218487394957982,67.64836887061911,93.8668562655771,40.589021322371465,35.411671985732426,0.5234667528120156,20.29295040359494,17.70447475457521
Men's Golf Clubs,Central America,0.99,10.555555555555555,4.27525177946022,3.0923076923076924,117.99000151353847,95,3.598164359227209,4.663003663003663,8.37058200753774,13.033585670541402,5.022349204522643,4.410271922276912,0.5268775717513364,2.2791807317044057,2.0014153491714195
