trial_id,current_policy_stockouts,current_policy_cost,optimized_policy_stockouts,optimized_policy_cost
45,65.0,2123.9620131588676,60.0,2124.74148361728
46,85.0,2019.0345101546955,47.0,2145.898714606113
47,65.0,1979.5677679304479,59.0,2225.5809320532717
48,63.0,1993.4142146842212,53.0,2075.5388830223287
49,76.0,2026.8557765633732,60.0,2207.551363653052
50,70.0,2105.498234924244,57.0,2031.281682775907
51,82.0,2076.986335110616,55.0,2122.0277924867487
52,74.0,1910.1670336596903,66.0,2193.346218525849
53,68.0,2153.2054164255487,55.0,2062.501741344454
54,59.0,1937.0784533762555,52.0,2045.4476153250305
55,81.0,2260.3846801296695,59.0,2192.4213376077055
56,66.0,1996.4556468028757,55.0,2065.5166712818736
57,77.0,2150.263505073021,62.0,2224.581357224427
58,80.0,2000.676679749175,47.0,1997.3565843372278
59,76.0,2020.0266525642103,53.0,2052.966925264586
60,80.0,1992.0610669142968,64.0,2168.3382477047385
61,68.0,1950.8766066270111,58.0,2148.813433565901
62,67.0,1988.3719971798064,48.0,2026.0969719358075
63,76.0,2184.233475292481,64.0,2124.023125054988
64,62.0,1882.1809043563603,55.0,2145.3065991290073
65,65.0,1922.7981803466816,59.0,2025.7680405763128
66,82.0,2141.4246172645458,52.0,2089.3576215242647
67,84.0,2248.572343719957,62.0,2048.534298003771
68,76.0,2011.3511449421596,63.0,2083.1201257467937
69,87.0,2015.2624436582987,60.0,2093.6959974908177
70,63.0,1984.8557138537499,60.0,2106.174477687841
71,83.0,2107.2792723909124,59.0,2286.8300000529825
72,67.0,1908.1019974596768,56.0,2109.031135170872
73,76.0,2051.0873198780223,47.0,1993.563805758744
74,87.0,1950.9771631584524,48.0,2085.858034618511
75,83.0,2123.2573370770074,40.0,1974.7168991752947
76,82.0,2040.0939889035521,55.0,2028.5925947655335
77,71.0,2045.5427991428846,57.0,2037.8744122742776
78,70.0,1976.5128097705165,58.0,2169.9443412705727
79,65.0,1977.0922919474808,60.0,2055.9952258389194
80,63.0,1871.5865493370652,59.0,2082.0997752352223
81,65.0,1895.5823282859456,50.0,2019.9113696092493
82,64.0,1955.5811207561658,64.0,2148.147331872554
83,87.0,2165.3581321821166,52.0,2063.0158291240805
84,81.0,1941.9471305621826,53.0,2049.5642270648664
85,60.0,2023.8034689520123,75.0,2143.9957901190714
86,75.0,2109.08473160179,62.0,2178.547756398181
87,79.0,2016.1337085363748,56.0,2064.765075727647
88,67.0,2070.075533273518,64.0,2212.0195962430416
89,66.0,1925.6706918503417,49.0,2164.3524929342825
90,74.0,1931.4970470066871,72.0,2200.497799180707
91,72.0,2134.2746150640896,48.0,2099.0194892099794
92,73.0,2050.6292672560658,62.0,2080.55012149827
93,61.0,1864.3727401303636,56.0,1983.2932723841445
94,60.0,2025.659218629831,62.0,2195.715756195981
95,72.0,2074.8717134656467,48.0,2121.4999767709796
96,75.0,1935.4691501934267,55.0,2085.6992300353686
97,80.0,2037.430550653484,47.0,2112.6850826234877
98,67.0,2036.48965011067,54.0,2286.3149408870822
99,68.0,2046.1923142321386,62.0,2039.6498393405518
100,74.0,2021.966547622546,56.0,2073.857013719381
101,70.0,1903.8453791256345,47.0,1977.7340046229476
102,64.0,1917.4848516516379,51.0,2087.075057538928
103,76.0,2130.122106333368,50.0,2022.5405073767563
104,66.0,2048.2180235862697,65.0,2007.8106682443167
105,64.0,1994.679768604846,52.0,2039.2836921114574
106,75.0,1946.961515768326,59.0,2057.90690954258
107,73.0,1999.916270124434,62.0,2148.9096333953485
108,79.0,2078.786917667589,49.0,2027.9008727455732
109,61.0,2008.8780097859917,71.0,2314.300486203967
110,74.0,1889.3516409510178,62.0,2080.77760063455
111,64.0,1909.5027446387303,40.0,2087.1972586458
112,73.0,1968.2899423970175,47.0,2264.035933495074
113,81.0,2016.5679054051145,56.0,2131.3251725834302
114,88.0,2364.8433684265487,57.0,2144.921933246931
115,69.0,1927.0553720233627,57.0,2043.5708573117702
116,67.0,1962.4425572818623,56.0,2102.8388316217574
117,72.0,2238.1141731462317,40.0,2081.2658626730604
118,69.0,1995.181435845804,49.0,2043.2092338201326
119,87.0,2034.4024125425478,45.0,2013.6085190384188
120,75.0,1996.9163783569181,57.0,2061.2579786946008
121,85.0,2085.772023076433,64.0,2082.6622843389505
122,73.0,1965.994373164753,56.0,2301.118258353536
123,81.0,2148.7550548327167,62.0,2195.8822989310875
124,71.0,2120.7578314066363,68.0,2030.950535735157
125,58.0,2077.2022202851003,56.0,2026.7435634245512
126,79.0,1991.7417984765898,54.0,2067.4875478386216
127,62.0,2023.1037558407602,48.0,2207.279189281863
128,78.0,2066.564174067377,49.0,2053.546646606197
